Entity,Code,Year,Prevalence of severe food insecurity in the total population (percent) (annual value) | 00210400 || Value | 006121 || percent
Africa (FAO),,2014,17.700000762939453
Africa (FAO),,2015,18.299999237060547
Africa (FAO),,2016,19.799999237060547
Africa (FAO),,2017,20.5
Africa (FAO),,2018,20.600000381469727
Africa (FAO),,2019,21.899999618530273
Africa (FAO),,2020,25.899999618530273
Asia (FAO),,2014,7.699999809265137
Asia (FAO),,2015,7.199999809265137
Asia (FAO),,2016,6.900000095367432
Asia (FAO),,2017,7.199999809265137
Asia (FAO),,2018,8.600000381469727
Asia (FAO),,2019,9
Asia (FAO),,2020,10.199999809265137
Caribbean (FAO),,2020,39.20000076293945
Central America (FAO),,2014,6.5
Central America (FAO),,2015,6.699999809265137
Central America (FAO),,2016,6.199999809265137
Central America (FAO),,2017,6.300000190734863
Central America (FAO),,2018,6.900000095367432
Central America (FAO),,2019,7.300000190734863
Central America (FAO),,2020,11.199999809265137
Central Asia (FAO),,2014,1.600000023841858
Central Asia (FAO),,2015,1.399999976158142
Central Asia (FAO),,2016,2
Central Asia (FAO),,2017,2.799999952316284
Central Asia (FAO),,2018,2.200000047683716
Central Asia (FAO),,2019,2.299999952316284
Central Asia (FAO),,2020,4.699999809265137
East Asia (excluding China) (FAO),,2014,0.6000000238418579
East Asia (excluding China) (FAO),,2015,0.30000001192092896
East Asia (excluding China) (FAO),,2016,0.6000000238418579
East Asia (excluding China) (FAO),,2017,0.800000011920929
East Asia (excluding China) (FAO),,2018,0.800000011920929
East Asia (excluding China) (FAO),,2019,0.800000011920929
East Asia (excluding China) (FAO),,2020,0.800000011920929
Eastern Africa (FAO),,2014,23.700000762939453
Eastern Africa (FAO),,2015,24.100000381469727
Eastern Africa (FAO),,2016,25.799999237060547
Eastern Africa (FAO),,2017,25.299999237060547
Eastern Africa (FAO),,2018,25
Eastern Africa (FAO),,2019,26
Eastern Africa (FAO),,2020,28.700000762939453
Eastern Asia (FAO),,2014,0.800000011920929
Eastern Asia (FAO),,2015,0.800000011920929
Eastern Asia (FAO),,2016,1.5
Eastern Asia (FAO),,2017,1.7000000476837158
Eastern Asia (FAO),,2018,1.899999976158142
Eastern Asia (FAO),,2019,1.2999999523162842
Eastern Asia (FAO),,2020,2
Eastern Asia and South-eastern Asia (FAO),,2014,1.2999999523162842
Eastern Asia and South-eastern Asia (FAO),,2015,1.100000023841858
Eastern Asia and South-eastern Asia (FAO),,2016,1.7999999523162842
Eastern Asia and South-eastern Asia (FAO),,2017,2
Eastern Asia and South-eastern Asia (FAO),,2018,2.0999999046325684
Eastern Asia and South-eastern Asia (FAO),,2019,1.7000000476837158
Eastern Asia and South-eastern Asia (FAO),,2020,2.4000000953674316
Eastern Europe (FAO),,2014,1.399999976158142
Eastern Europe (FAO),,2015,1.5
Eastern Europe (FAO),,2016,1.5
Eastern Europe (FAO),,2017,1.100000023841858
Eastern Europe (FAO),,2018,0.8999999761581421
Eastern Europe (FAO),,2019,1.2999999523162842
Eastern Europe (FAO),,2020,2.200000047683716
Europe (FAO),,2014,1.5
Europe (FAO),,2015,1.600000023841858
Europe (FAO),,2016,1.399999976158142
Europe (FAO),,2017,1.399999976158142
Europe (FAO),,2018,1
Europe (FAO),,2019,1.2000000476837158
Europe (FAO),,2020,1.7000000476837158
High-income economies (FAO),,2014,1.899999976158142
High-income economies (FAO),,2015,1.7000000476837158
High-income economies (FAO),,2016,1.7000000476837158
High-income economies (FAO),,2017,1.7000000476837158
High-income economies (FAO),,2018,1.5
